[2021-03-24 16:47:28.408759] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408771] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408783] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408796] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408818] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408831] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408844] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408858] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408870] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408882] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408895] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408907] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408919] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408931] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408943] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408955] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rb2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408967] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408980] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408992] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409028] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409042] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409064] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409082] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409094] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409107] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409119] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409132] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409144] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pp2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409156] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409168] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409181] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409193] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409205] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409217] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409229] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409241] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409253] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409266] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409278] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409290] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pg2103, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409304] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pb2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.409317] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: pb2202, price: 0, vol: 0, updateTime: 
