[2021-03-16 16:58:32.658911] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2106
[2021-03-16 16:58:32.658915] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2105
[2021-03-16 16:58:32.658920] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2104
[2021-03-16 16:58:32.658924] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2103
[2021-03-16 16:58:32.658928] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2202
[2021-03-16 16:58:32.658933] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2201
[2021-03-16 16:58:32.658937] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2112
[2021-03-16 16:58:32.658941] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2111
[2021-03-16 16:58:32.658946] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2110
[2021-03-16 16:58:32.658950] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2109
[2021-03-16 16:58:32.658954] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2108
[2021-03-16 16:58:32.658984] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2107
[2021-03-16 16:58:32.658989] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2106
[2021-03-16 16:58:32.658993] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2105
[2021-03-16 16:58:32.658998] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2104
[2021-03-16 16:58:32.659002] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sn2103
[2021-03-16 16:58:32.659007] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2403
[2021-03-16 16:58:32.659011] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2312
[2021-03-16 16:58:32.659015] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2309
[2021-03-16 16:58:32.659020] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2306
[2021-03-16 16:58:32.659024] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2303
[2021-03-16 16:58:32.659028] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2212
[2021-03-16 16:58:32.659032] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2209
[2021-03-16 16:58:32.659037] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2206
[2021-03-16 16:58:32.659041] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2203
[2021-03-16 16:58:32.659045] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2202
[2021-03-16 16:58:32.659049] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2201
[2021-03-16 16:58:32.659054] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2112
[2021-03-16 16:58:32.659058] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2111
[2021-03-16 16:58:32.659062] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2110
[2021-03-16 16:58:32.659067] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2109
[2021-03-16 16:58:32.659071] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2108
[2021-03-16 16:58:32.659076] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2107
[2021-03-16 16:58:32.659080] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2106
[2021-03-16 16:58:32.659085] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2105
[2021-03-16 16:58:32.659090] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sc2104
[2021-03-16 16:58:32.659095] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2201
[2021-03-16 16:58:32.659101] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2111
[2021-03-16 16:58:32.659107] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2110
[2021-03-16 16:58:32.659113] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2109
[2021-03-16 16:58:32.659119] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2108
[2021-03-16 16:58:32.659125] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2107
[2021-03-16 16:58:32.659138] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2106
[2021-03-16 16:58:32.659145] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2105
[2021-03-16 16:58:32.659150] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2104
[2021-03-16 16:58:32.659156] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: ru2103
[2021-03-16 16:58:32.659162] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2202
[2021-03-16 16:58:32.659168] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2201
[2021-03-16 16:58:32.659174] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2112
[2021-03-16 16:58:32.659180] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2111
[2021-03-16 16:58:32.659187] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2110
[2021-03-16 16:58:32.659193] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2109
[2021-03-16 16:58:32.659198] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2108
[2021-03-16 16:58:32.659203] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2107
[2021-03-16 16:58:32.659208] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2106
[2021-03-16 16:58:32.659212] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2105
[2021-03-16 16:58:32.659216] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2104
[2021-03-16 16:58:32.659221] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rr2103
[2021-03-16 16:58:32.659225] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2202
[2021-03-16 16:58:32.659229] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2201
[2021-03-16 16:58:32.659234] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2112
[2021-03-16 16:58:32.659238] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2111
[2021-03-16 16:58:32.659242] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2110
[2021-03-16 16:58:32.659246] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2109
[2021-03-16 16:58:32.659251] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2108
[2021-03-16 16:58:32.659255] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2107
[2021-03-16 16:58:32.659259] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2106
[2021-03-16 16:58:32.659264] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2105
[2021-03-16 16:58:32.659270] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2104
[2021-03-16 16:58:32.659275] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: rb2103
[2021-03-16 16:58:32.659279] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2202
[2021-03-16 16:58:32.659284] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2201
[2021-03-16 16:58:32.659288] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2112
[2021-03-16 16:58:32.659299] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2111
[2021-03-16 16:58:32.659303] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2110
[2021-03-16 16:58:32.659308] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2109
[2021-03-16 16:58:32.659312] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2108
[2021-03-16 16:58:32.659316] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2107
[2021-03-16 16:58:32.659321] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2106
[2021-03-16 16:58:32.659325] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2105
[2021-03-16 16:58:32.659330] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2104
[2021-03-16 16:58:32.659336] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: pp2103
[2021-03-16 16:59:05.193365] [160542] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2202
[2021-03-16 16:59:05.193406] [160542] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: zn2201
