[2021-03-23 13:25:00.283402] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4938.8, Volume: 71714
[2021-03-23 13:25:00.986571] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14991
[2021-03-23 13:25:00.986721] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939, Volume: 71722
[2021-03-23 13:25:01.267233] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14991
[2021-03-23 13:25:01.486738] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4938.6, Volume: 71730
[2021-03-23 13:25:01.486854] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:01.983753] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.2, Volume: 14993
[2021-03-23 13:25:01.983848] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.6, Volume: 71737
[2021-03-23 13:25:01.983962] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:02.273358] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.2, Volume: 14994
[2021-03-23 13:25:02.273388] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.4, Volume: 71739
[2021-03-23 13:25:02.783794] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.2, Volume: 14995
[2021-03-23 13:25:02.783914] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.6, Volume: 71740
[2021-03-23 13:25:03.475700] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.2, Volume: 14995
[2021-03-23 13:25:03.475819] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71743
[2021-03-23 13:25:03.475910] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:03.981957] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15004
[2021-03-23 13:25:03.982104] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.2, Volume: 71760
[2021-03-23 13:25:03.982248] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:04.287834] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15004
[2021-03-23 13:25:04.296994] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941, Volume: 71765
[2021-03-23 13:25:04.297175] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:04.990775] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4873.4, Volume: 15005
[2021-03-23 13:25:04.990941] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.6, Volume: 71769
[2021-03-23 13:25:04.991107] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:05.486268] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:05.486392] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4942, Volume: 71772
[2021-03-23 13:25:05.486515] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:05.765984] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:05.985924] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.6, Volume: 71779
[2021-03-23 13:25:05.986051] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:06.467865] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:06.468001] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.6, Volume: 71784
[2021-03-23 13:25:06.468125] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:06.974885] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:06.975008] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941.4, Volume: 71785
[2021-03-23 13:25:06.975154] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:07.492239] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:07.492347] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4941, Volume: 71786
[2021-03-23 13:25:07.492472] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:07.782498] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.4, Volume: 15006
[2021-03-23 13:25:07.782653] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.8, Volume: 71787
[2021-03-23 13:25:07.782784] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:08.486068] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15007
[2021-03-23 13:25:08.486205] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71792
[2021-03-23 13:25:08.486337] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:08.980932] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15010
[2021-03-23 13:25:08.981037] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71792
[2021-03-23 13:25:08.981175] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:09.477102] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15013
[2021-03-23 13:25:09.477236] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.8, Volume: 71795
[2021-03-23 13:25:09.477361] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:09.769862] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15013
[2021-03-23 13:25:09.769946] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.4, Volume: 71798
[2021-03-23 13:25:09.770068] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:10.273382] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
[2021-03-23 13:25:10.281368] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.4, Volume: 71798
[2021-03-23 13:25:10.281470] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4787.4, Volume: 3298
[2021-03-23 13:25:10.978950] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4872.6, Volume: 15015
